Metric,Value
design__max_slew_violation__count__corner:max_ff_n40C_1v95,437
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,276
design__max_cap_violation__count__corner:max_ff_n40C_1v95,10
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.4966278640007844
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.8939294002497336
timing__hold__ws__corner:max_ff_n40C_1v95,0.7071810004419798
timing__setup__ws__corner:max_ff_n40C_1v95,2.8591814169976706
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,1.094029
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,8.582801
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count,1022
design__max_fanout_violation__count,276
design__max_cap_violation__count,101
clock__skew__worst_hold,-2.4966278640007844
clock__skew__worst_setup,0.7975105246370153
timing__hold__ws,0.7071810004419798
timing__setup__ws,-2.5160318984847563
timing__hold__tns,0.0
timing__setup__tns,-85.53922967617346
timing__hold__wns,0
timing__setup__wns,-2.5160318984847563
timing__hold_vio__count,0
timing__hold_r2r__ws,1.063193
timing__hold_r2r_vio__count,0
timing__setup_vio__count,296
timing__setup_r2r__ws,7.460683
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,139647
design__instance__area__stdcell,217954
design__instance__count__macros,6
design__instance__area__macros,947000
design__instance__utilization,0.114503
design__instance__utilization__stdcell,0.0236214
design__instance__count__class:macro,6
design__instance__count__class:inverter,257
design__instance__count__class:sequential_cell,236
design__instance__count__class:multi_input_combinational_cell,1230
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,788963
design__instance__count__class:tap_cell,130721
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2254.78
